CustomerID,Tier,Retained,Age,Tenure,Monthly_Spend_IDR
B0108,Blue,1,35,8, Rp 2.178.983 
B1194,Blue,1,43,2, Rp 3.518.478 
B0233,Blue,0,40,7, Rp 2.823.888 
G0492,Gold,1,47,11, Rp 14.212.258 
S0315,Silver,0,26,10, Rp 4.543.637 
B0784,Blue,0,18,13, Rp 1.710.951 
B0095,Blue,0,18,14, Rp 1.111.725 
S0921,Silver,1,37,14, Rp 2.131.757 
G0453,Gold,0,26,3, Rp 10.260.660 
B0955,Blue,1,47,7, Rp 2.475.387 
B0931,Blue,0,43,8, Rp 3.248.381 
S0036,Silver,0,30,13, Rp 6.953.458 
B0121,Blue,1,38,12, Rp 2.661.007 
B0504,Blue,0,42,5, Rp 3.368.978 
S0119,Silver,1,49,6, Rp 3.837.935 
G0112,Gold,0,18,13, Rp 11.893.843 
B0271,Blue,0,37,3, Rp 1.570.898 
B1158,Blue,1,36,9, Rp 3.875.670 
S0165,Silver,1,60,9, Rp 4.850.820 
P0121,Platinum,1,51,12, Rp 12.143.130 
P0125,Platinum,1,38,12, Rp 19.640.142 
S0337,Silver,1,42,13, Rp 5.711.465 
B0191,Blue,1,20,12, Rp 3.101.145 
S0351,Silver,0,39,5, Rp 3.774.743 
S0813,Silver,1,42,11, Rp 2.618.216 
B0298,Blue,0,36,6, Rp 3.353.038 
S0021,Silver,1,33,3, Rp 2.457.857 
G0118,Gold,0,39,10, Rp 4.551.287 
B0189,Blue,0,46,12, Rp 2.267.245 
S0019,Silver,1,35,5, Rp 3.931.617 
B0008,Blue,1,46,6, Rp 1.044.257 
B1193,Blue,1,18,5, Rp 2.964.508 
B1082,Blue,1,57,7, Rp 3.807.020 
B0004,Blue,1,60,1, Rp 4.115.487 
B1018,Blue,1,53,8, Rp 2.550.713 
S0248,Silver,0,41,6, Rp 3.371.870 
G0276,Gold,0,59,11, Rp 4.688.875 
G0266,Gold,1,41,12, Rp 11.179.404 
P0203,Platinum,1,24,8, Rp 14.040.624 
B0352,Blue,0,35,2, Rp 4.189.858 
S0696,Silver,0,48,10, Rp 4.744.874 
G0296,Gold,0,47,2, Rp 9.084.108 
B0369,Blue,1,30,8, Rp 3.281.456 
S0389,Silver,0,23,4, Rp 7.003.053 
B1150,Blue,0,30,8, Rp 1.307.391 
S0376,Silver,0,48,7, Rp 3.642.946 
S0232,Silver,1,48,10, Rp 7.366.006 
S0943,Silver,1,43,14, Rp 3.434.983 
B0009,Blue,1,36,13, Rp 2.431.039 
B0963,Blue,0,27,9, Rp 904.750 
S0919,Silver,1,37,7, Rp 6.970.778 
G0004,Gold,1,20,6, Rp 9.869.060 
S0331,Silver,1,56,4, Rp 3.138.140 
P0050,Platinum,1,22,12, Rp 15.820.405 
B0816,Blue,1,18,3, Rp 3.221.483 
S0728,Silver,0,28,3, Rp 1.937.396 
B0707,Blue,0,18,5, Rp 1.571.548 
S0610,Silver,1,46,10, Rp 4.624.223 
S0927,Silver,0,44,7, Rp 5.200.380 
B0147,Blue,1,41,14, Rp 2.513.714 
P0252,Platinum,1,57,10, Rp 10.858.593 
B1080,Blue,1,20,14, Rp 2.130.113 
P0263,Platinum,1,49,11, Rp 8.146.917 
G0069,Gold,0,51,13, Rp 8.598.023 
S0909,Silver,0,23,7, Rp 1.965.188 
S0483,Silver,1,49,13, Rp 5.579.265 
G0028,Gold,1,19,4, Rp 7.227.841 
B0625,Blue,0,44,1, Rp 1.366.497 
G0286,Gold,1,39,6, Rp 9.411.361 
B0567,Blue,0,45,9, Rp 2.384.298 
B0708,Blue,0,50,5, Rp 978.644 
S0403,Silver,1,61,3, Rp 1.661.910 
B0214,Blue,0,39,5, Rp 3.250.946 
P0079,Platinum,1,48,7, Rp 20.602.098 
P0090,Platinum,1,55,3, Rp 17.291.396 
S0840,Silver,0,31,6, Rp 2.232.261 
B0829,Blue,1,62,1, Rp 1.722.106 
G0438,Gold,1,48,12, Rp 7.580.161 
B0266,Blue,1,47,2, Rp 857.288 
B0878,Blue,1,43,13, Rp 1.964.730 
S0411,Silver,1,49,14, Rp 1.741.192 
B0143,Blue,0,35,11, Rp 1.487.200 
B0134,Blue,0,35,5, Rp 2.683.477 
B0624,Blue,1,23,8, Rp 2.491.247 
G0389,Gold,0,46,7, Rp 9.839.538 
S0158,Silver,1,29,6, Rp 4.564.016 
B0275,Blue,0,19,10, Rp 2.898.725 
P0078,Platinum,1,52,2, Rp 22.126.034 
B0995,Blue,0,43,2, Rp 3.526.954 
P0220,Platinum,0,48,9, Rp 20.038.644 
B1095,Blue,0,35,3, Rp 2.717.827 
B0682,Blue,0,42,5, Rp 1.504.873 
B0881,Blue,0,20,10, Rp 1.938.019 
S0924,Silver,0,21,9, Rp 3.632.770 
B1075,Blue,0,34,13, Rp 997.524 
S0381,Silver,1,40,1, Rp 3.566.648 
B0853,Blue,1,62,8, Rp 3.614.833 
S0587,Silver,1,60,11, Rp 6.117.697 
S0379,Silver,0,22,10, Rp 1.637.413 
B0906,Blue,1,47,9, Rp 3.129.446 
G0085,Gold,1,37,9, Rp 8.554.041 
S0532,Silver,1,62,2, Rp 4.109.673 
B0250,Blue,0,26,3, Rp 2.437.109 
G0250,Gold,1,20,2, Rp 13.976.692 
S0630,Silver,1,33,2, Rp 5.198.220 
S0680,Silver,0,38,10, Rp 5.558.382 
G0408,Gold,0,57,2, Rp 5.559.951 
G0287,Gold,1,58,7, Rp 7.364.336 
B1049,Blue,1,28,3, Rp 3.498.636 
B0913,Blue,1,59,6, Rp 2.505.679 
S0573,Silver,1,21,11, Rp 6.820.635 
S0797,Silver,1,31,5, Rp 7.166.113 
S0580,Silver,1,25,9, Rp 1.860.511 
G0040,Gold,1,40,11, Rp 14.558.077 
B0292,Blue,1,41,11, Rp 1.087.928 
S0871,Silver,0,52,6, Rp 3.637.780 
B0208,Blue,1,24,12, Rp 2.834.236 
S0162,Silver,1,59,11, Rp 5.287.736 
B0690,Blue,1,26,6, Rp 2.547.793 
B0618,Blue,1,41,7, Rp 2.997.146 
B0484,Blue,1,24,2, Rp 2.897.074 
G0434,Gold,1,31,4, Rp 11.177.366 
S0713,Silver,1,18,14, Rp 2.889.102 
S0149,Silver,0,49,4, Rp 3.402.083 
B0876,Blue,1,31,1, Rp 3.276.506 
G0272,Gold,0,22,7, Rp 13.561.122 
B1004,Blue,0,36,10, Rp 4.001.038 
S0035,Silver,1,57,14, Rp 2.177.419 
S0572,Silver,0,30,2, Rp 2.416.099 
S0294,Silver,1,44,11, Rp 6.018.061 
B0667,Blue,1,52,10, Rp 3.337.576 
S0547,Silver,1,28,6, Rp 7.129.412 
S0933,Silver,1,45,13, Rp 6.009.482 
B1066,Blue,0,53,14, Rp 2.397.436 
B1038,Blue,0,43,13, Rp 2.618.052 
B0410,Blue,0,36,8, Rp 3.308.026 
B0916,Blue,0,58,12, Rp 3.221.474 
B1055,Blue,0,43,6, Rp 917.722 
S0792,Silver,1,56,6, Rp 1.632.235 
B1079,Blue,1,63,1, Rp 861.406 
G0043,Gold,0,37,9, Rp 6.386.398 
P0134,Platinum,1,49,1, Rp 22.038.737 
P0236,Platinum,1,51,12, Rp 15.477.353 
G0347,Gold,1,36,13, Rp 6.163.751 
G0395,Gold,0,24,9, Rp 13.577.684 
G0410,Gold,1,19,13, Rp 11.352.321 
P0141,Platinum,1,38,11, Rp 8.129.558 
G0049,Gold,1,25,7, Rp 5.074.499 
G0191,Gold,0,30,1, Rp 7.574.535 
B1056,Blue,1,61,7, Rp 2.566.488 
S0312,Silver,1,55,2, Rp 3.185.863 
B1124,Blue,1,38,10, Rp 857.891 
S0434,Silver,0,62,13, Rp 4.516.901 
B0180,Blue,1,45,6, Rp 3.475.996 
G0221,Gold,1,32,8, Rp 12.950.745 
G0001,Gold,0,25,7, Rp 10.912.684 
B0243,Blue,1,31,2, Rp 3.783.410 
B0366,Blue,0,43,14, Rp 2.728.396 
S0997,Silver,1,28,5, Rp 3.583.663 
S0010,Silver,0,30,1, Rp 2.097.965 
S0867,Silver,0,49,4, Rp 5.270.807 
B0328,Blue,0,38,1, Rp 2.897.315 
B0758,Blue,1,26,13, Rp 3.514.215 
B0437,Blue,1,35,4, Rp 4.247.993 
G0180,Gold,1,20,14, Rp 6.043.657 
S0503,Silver,0,23,14, Rp 4.667.063 
B1024,Blue,1,33,1, Rp 4.479.860 
S0166,Silver,0,48,11, Rp 3.001.227 
G0432,Gold,1,36,7, Rp 7.283.436 
S0694,Silver,0,63,6, Rp 2.167.567 
G0498,Gold,0,32,5, Rp 12.321.086 
S0775,Silver,1,37,7, Rp 7.395.555 
G0304,Gold,1,49,11, Rp 4.640.799 
S0280,Silver,0,32,8, Rp 2.250.082 
P0240,Platinum,1,27,5, Rp 20.725.690 
S0590,Silver,1,53,7, Rp 6.494.312 
G0457,Gold,1,49,9, Rp 14.663.683 
S0568,Silver,1,64,6, Rp 2.209.429 
S0579,Silver,0,32,9, Rp 5.042.422 
S0400,Silver,0,36,2, Rp 5.420.601 
B0831,Blue,0,31,13, Rp 3.328.802 
B0959,Blue,1,38,4, Rp 3.216.465 
G0208,Gold,1,45,10, Rp 7.571.408 
B0363,Blue,0,62,14, Rp 1.252.024 
S0468,Silver,0,40,13, Rp 4.016.082 
B0572,Blue,0,43,7, Rp 4.442.015 
S0497,Silver,1,34,14, Rp 4.798.832 
B1186,Blue,1,47,12, Rp 3.047.032 
P0266,Platinum,0,43,5, Rp 13.472.324 
S0613,Silver,1,53,5, Rp 7.473.394 
S0861,Silver,0,52,13, Rp 4.397.229 
S0074,Silver,1,48,14, Rp 2.126.535 
S0057,Silver,1,45,11, Rp 6.742.255 
G0279,Gold,0,50,14, Rp 11.726.299 
S0844,Silver,1,32,1, Rp 5.857.355 
B0236,Blue,1,64,12, Rp 1.212.174 
B0464,Blue,0,62,7, Rp 3.248.486 
B0984,Blue,0,30,10, Rp 1.668.590 
G0181,Gold,1,50,13, Rp 11.964.390 
S0888,Silver,0,40,8, Rp 4.692.081 
B0539,Blue,0,25,8, Rp 1.959.267 
B0436,Blue,0,47,6, Rp 2.832.143 
S0676,Silver,0,59,9, Rp 6.793.617 
B0726,Blue,1,59,3, Rp 2.035.253 
B0858,Blue,1,30,14, Rp 4.141.518 
S0357,Silver,0,64,4, Rp 5.256.464 
S0174,Silver,1,40,8, Rp 6.211.452 
P0149,Platinum,1,39,13, Rp 15.807.604 
B0036,Blue,1,34,2, Rp 1.299.388 
B0595,Blue,1,33,10, Rp 3.530.400 
S0067,Silver,1,23,13, Rp 6.916.443 
B0580,Blue,0,24,2, Rp 3.413.451 
G0192,Gold,0,63,12, Rp 8.438.544 
S0946,Silver,1,30,7, Rp 1.877.390 
G0023,Gold,1,50,11, Rp 8.808.074 
B0278,Blue,0,64,14, Rp 778.765 
B0679,Blue,0,23,8, Rp 3.544.497 
P0016,Platinum,1,62,4, Rp 18.732.412 
S0612,Silver,1,32,8, Rp 1.739.035 
B1007,Blue,1,50,1, Rp 866.179 
G0297,Gold,1,39,1, Rp 11.154.868 
S0040,Silver,1,23,7, Rp 4.976.850 
B0388,Blue,0,57,6, Rp 3.388.571 
B0698,Blue,0,39,12, Rp 1.632.019 
G0405,Gold,0,28,11, Rp 8.135.793 
G0158,Gold,1,43,4, Rp 10.269.000 
B0013,Blue,1,31,9, Rp 2.885.936 
B1021,Blue,1,18,6, Rp 2.079.985 
P0112,Platinum,1,27,4, Rp 19.431.929 
G0209,Gold,1,50,13, Rp 6.258.440 
G0101,Gold,1,44,5, Rp 7.717.187 
S0904,Silver,1,18,10, Rp 5.524.261 
B0041,Blue,0,24,9, Rp 4.448.488 
S0645,Silver,1,53,2, Rp 1.777.679 
B0135,Blue,0,61,5, Rp 1.341.539 
G0258,Gold,1,18,14, Rp 8.719.041 
S0750,Silver,0,59,3, Rp 7.107.109 
G0184,Gold,1,35,5, Rp 7.050.926 
S0429,Silver,1,57,4, Rp 1.663.215 
S0412,Silver,1,61,7, Rp 6.071.375 
G0359,Gold,1,46,13, Rp 12.539.350 
B0727,Blue,0,41,4, Rp 2.663.221 
B0481,Blue,1,54,2, Rp 4.294.266 
S0938,Silver,1,36,7, Rp 5.637.259 
S0041,Silver,0,36,12, Rp 2.981.093 
B0514,Blue,0,37,3, Rp 1.810.432 
G0098,Gold,1,20,12, Rp 6.606.637 
P0144,Platinum,1,40,7, Rp 15.943.497 
G0042,Gold,1,46,2, Rp 10.430.835 
P0185,Platinum,1,43,9, Rp 11.760.907 
G0426,Gold,1,32,10, Rp 12.454.258 
G0060,Gold,1,35,3, Rp 9.934.794 
S0249,Silver,1,22,13, Rp 6.404.792 
B0711,Blue,0,21,7, Rp 1.666.371 
B0302,Blue,1,45,2, Rp 2.278.767 
B0176,Blue,1,64,6, Rp 1.474.211 
B0840,Blue,1,54,4, Rp 1.902.158 
P0238,Platinum,1,55,12, Rp 18.998.359 
S0841,Silver,0,24,9, Rp 1.972.400 
G0073,Gold,0,19,10, Rp 10.648.844 
S0320,Silver,0,28,7, Rp 4.236.403 
B0112,Blue,0,59,9, Rp 2.571.530 
B0973,Blue,0,26,2, Rp 1.932.470 
B0575,Blue,1,47,10, Rp 1.179.078 
S0084,Silver,0,21,11, Rp 2.364.980 
B1117,Blue,0,20,5, Rp 4.376.207 
S0273,Silver,1,38,13, Rp 1.668.610 
B0750,Blue,1,18,2, Rp 3.188.172 
S0583,Silver,1,63,8, Rp 7.059.191 
S0277,Silver,0,38,14, Rp 1.653.143 
G0194,Gold,1,27,12, Rp 7.849.961 
S0278,Silver,1,50,7, Rp 5.863.588 
G0223,Gold,1,35,3, Rp 13.473.500 
G0183,Gold,0,33,8, Rp 12.800.959 
S0173,Silver,1,57,5, Rp 5.440.845 
G0129,Gold,1,21,2, Rp 5.672.177 
P0295,Platinum,0,59,11, Rp 10.355.749 
S0410,Silver,1,52,7, Rp 5.150.305 
S0469,Silver,1,22,4, Rp 5.063.625 
P0243,Platinum,1,54,7, Rp 11.297.282 
G0428,Gold,1,46,5, Rp 13.809.463 
P0251,Platinum,0,40,8, Rp 20.419.295 
S0115,Silver,1,34,9, Rp 1.813.462 
B0765,Blue,1,44,7, Rp 2.809.412 
S0868,Silver,1,57,5, Rp 1.757.382 
B0164,Blue,0,39,1, Rp 2.296.253 
P0246,Platinum,1,54,9, Rp 17.977.207 
B0092,Blue,0,35,7, Rp 911.554 
B0966,Blue,0,35,8, Rp 2.266.937 
B0312,Blue,1,33,13, Rp 1.334.762 
S0335,Silver,1,51,4, Rp 4.625.907 
B0672,Blue,0,33,9, Rp 2.076.024 
B0980,Blue,1,64,11, Rp 3.246.366 
S0445,Silver,0,60,2, Rp 5.921.479 
S0778,Silver,0,18,12, Rp 5.562.960 
S0538,Silver,1,63,7, Rp 5.849.825 
B1109,Blue,1,28,9, Rp 1.201.969 
G0197,Gold,0,44,4, Rp 13.642.050 
